,Regione di arrivo,Anno,Valori osservati
0,Italia,2023,41958.0
1,Piemonte,2023,2806.0
2,Valle D'Aosta,2023,205.0
3,Liguria,2023,1391.0
4,Lombardia,2023,5963.0
5,PA Bolzano,2023,547.0
6,PA Trento,2023,922.0
7,Veneto,2023,8718.0
8,Friuli Venezia Giulia,2023,1430.0
9,Emilia Romagna,2023,4103.0
10,Trentino Alto Adige,2023,1468.0
11,Toscana,2023,3942.0
12,Umbria,2023,703.0
13,Marche,2023,796.0
14,Lazio,2023,2809.0
15,Abruzzo,2023,305.0
16,Molise,2023,53.0
17,Campania,2023,3423.0
18,Puglia,2023,839.0
19,Basilicata,2023,103.0
20,Calabria,2023,774.0
21,Sicilia,2023,878.0
22,Sardegna,2023,1245.0
23,Italia,2023,100.0
24,Piemonte,2023,6.7
25,Valle D'Aosta,2023,0.5
26,Liguria,2023,3.3
27,Lombardia,2023,14.2
28,PA Bolzano,2023,1.3
29,PA Trento,2023,2.2
30,Veneto,2023,20.8
31,Friuli Venezia Giulia,2023,3.4
32,Emilia Romagna,2023,9.8
33,Trentino Alto Adige,2023,3.5
34,Toscana,2023,9.4
35,Umbria,2023,1.7
36,Marche,2023,1.9
37,Lazio,2023,6.7
38,Abruzzo,2023,0.7
39,Molise,2023,0.1
40,Campania,2023,8.2
41,Puglia,2023,2.0
42,Basilicata,2023,0.2
43,Calabria,2023,1.8
44,Sicilia,2023,2.1
45,Sardegna,2023,3.0
