,Destinazione,Motivazione della visita,Valori osservati
0,Italia,Cultura,2710.0
1,Italia,Altro motivo,3219.0
2,Italia,Tempo libero,26819.0
3,Italia,Visita parenti/amici,6545.0
4,Italia,Pellegrinaggio,710.0
5,Italia,Shopping,1267.0
6,Italia,Lavoro,688.0
7,Italia,Visite in giornata,41958.0
24,Italia,Cultura,6.5
25,Italia,Altro motivo,7.7
26,Italia,Tempo libero,63.9
27,Italia,Visita parenti/amici,15.6
28,Italia,Pellegrinaggio,1.7
29,Italia,Shopping,3.0
30,Italia,Lavoro,1.6
31,Italia,Visite in giornata,100.0
